"name[Blue Spice], eatType[coffee shop], area[city centre]"	The Blue Spice is a coffee shop in the city centre that is not family-friendly.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	In the city centre near Crowne Plaza Hotel is a Indian restaurant called The Phoenix. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Phoenix is a cheap Indian restaurant located in the city centre near Crowne Plaza Hotel. It is family friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a cheap restaurant that serves Indian food in the riverside area near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	There is a cheap restaurant The Phoenix located in the riverside area near Express by Holiday Inn. It is not family-friendly and has a 5 out of 5 customer rating.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Phoenix is a cheap restaurant that serves Indian food. It is located in the riverside area near Express by Holiday Inn. It is family friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	There is a cheap Indian restaurant near Express by Holiday Inn in the city centre called The Phoenix. It has an average customer rating and is not family-friendly.
"name[The Plough], eatType[pub], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a kid friendly pub near Raja Indian Cuisine in the riverside area then the Plough serves Chinese food with a price range of £20-25.
"name[The Plough], eatType[pub], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a cheap pub that serves Chinese food in the riverside area then the Plough is family friendly. It is located near Raja Indian Cuisine.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	For a high priced Chinese pub near Raja Indian Cuisine in the city centre there is The Plough. It is not child friendly.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Plough is a pub that serves Chinese food in the high price range. It is located in the city centre near Raja Indian Cuisine. It is children friendly.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Plough is a pub that serves Chinese food in the high price range. It is located in the riverside area near Raja Indian Cuisine. It is not child friendly.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced pub that serves Chinese food in the riverside area is The Plough. It is child friendly and is located near Raja Indian Cuisine.
"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"Located in the city centre near Raja Indian Cuisine, The Plough is a pub that serves Chinese food for less than £20. It is not family-friendly."
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A kid friendly restaurant near Raja Indian Cuisine in the riverside area is The Plough. It serves Chinese food and has a price range of £20-25.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A cheap restaurant in the riverside area near Raja Indian Cuisine is The Plough. It is family friendly.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Plough is a high priced Chinese restaurant located in the city centre near Raja Indian Cuisine. It is not child friendly.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	A children friendly restaurant in the city centre near Raja Indian Cuisine is The Plough. It serves Chinese food and has a high price range.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	At the riverside near Raja Indian Cuisine is a high priced Chinese restaurant called The Plough.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Located near Raja Indian Cuisine in the riverside area, The Plough is a high priced restaurant that serves Chinese food."
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Chinese restaurant The Plough is located in the city centre near Raja Indian Cuisine. It is not family-friendly and has a price range of less than £20.
"name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a family-friendly pub that serves Chinese food for less than £20. It is located in the city centre near Raja Indian Cuisine.
"name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Located near Raja Indian Cuisine in the riverside area, The Punter is a pub that serves Chinese food for less than £20. It is not family-friendly."
"name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	In the riverside area near Raja Indian Cuisine is a pub called The Punter that serves Chinese food for less than £20. It is family friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	If you're looking for a moderately priced Chinese pub near Raja Indian Cuisine in the city centre there is The Punter. It is not kid friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a pub that serves Chinese food in the moderate price range. It is located in the city centre near Raja Indian Cuisine. It is kid friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	There is a moderately priced pub near Raja Indian Cuisine in the riverside area that serves Chinese food called The Punter. It is not kid friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A kid friendly pub near Raja Indian Cuisine in the riverside area is The Punter. It serves Chinese food and has a moderate price range.
"name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a pub that serves Chinese food in the riverside area near Raja Indian Cuisine. It is child friendly and has a price range of more than £30.
"name[The Punter], eatType[pub], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a pub that serves English food in the riverside area near Raja Indian Cuisine. It is kid friendly and has a price range of £20-25.
"name[The Punter], eatType[pub], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Near Raja Indian Cuisine in the riverside area is a family friendly pub called The Punter. It serves English food and is cheap.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Punter is a pub that serves English food in the high price range. It is located in the city centre near Raja Indian Cuisine. It is not child friendly.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a pub that serves English food in the high price range. It is located in the city centre near Raja Indian Cuisine. It is children friendly.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Punter is a pub that serves English food in the high price range. It is located in the riverside area near Raja Indian Cuisine. It is not child friendly.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced pub that serves English food in the riverside area is The Punter. It is child friendly and is located near Raja Indian Cuisine.
"name[The Punter], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	There is a pub called The Punter that serves Italian food in the high price range. It is located in the city centre near Rainbow Vegetarian Café. It has an average customer rating and is not child friendly.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a family-friendly restaurant that serves Chinese food for less than £20. It is located in the city centre near Raja Indian Cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	In the riverside area near Raja Indian Cuisine is a Chinese restaurant called The Punter. It is not family-friendly and has a price range of less than £20.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a family friendly restaurant that serves Chinese food for less than £20. It is located in the riverside area near Raja Indian Cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Chinese restaurant The Punter is located in the city centre near Raja Indian Cuisine. It is not kid friendly and has a moderate price range.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	In the city centre near Raja Indian Cuisine is a Chinese restaurant called The Punter. It is kid friendly and has a moderate price range.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"If you are looking for a moderately priced Chinese restaurant in the riverside area near Raja Indian Cuisine, try The Punter."
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a moderately priced Chinese restaurant in the riverside area then the Punter is kid friendly.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Punter is a restaurant that serves Chinese food in the riverside area near Raja Indian Cuisine. It is child friendly and has a price range of more than £30.
"name[The Punter], eatType[restaurant], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A kid friendly restaurant near Raja Indian Cuisine in the riverside area is The Punter. It serves English food and has a price range of £20-25.
"name[The Punter], eatType[restaurant], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Near Raja Indian Cuisine is a cheap restaurant called The Punter that is family friendly.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	"If you are looking for a high priced English restaurant in the city centre near Raja Indian Cuisine, then The Punter is not child friendly."
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a children friendly restaurant called The Punter that serves English food in the high price range. It is located in the city centre near Raja Indian Cuisine.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	There is a high priced restaurant The Punter located near Raja Indian Cuisine in the riverside area. It is not child friendly.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced restaurant that is child friendly in the riverside area near Raja Indian Cuisine is The Punter.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	If you are looking for a cheap Indian restaurant in the city centre there is a family friendly restaurant called The Punter. It has an average customer rating.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	In the riverside area near Express by Holiday Inn is a Indian restaurant called The Punter. It has an average customer rating and is not family-friendly.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a cheap restaurant that serves Indian food. It is located in the riverside area near Express by Holiday Inn. It is family friendly and has an average customer rating.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a high priced Indian restaurant located in the city centre near Express by Holiday Inn. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a children friendly Indian restaurant with a high price range and a customer rating of 1 out of 5. It is located in the city centre near Express by Holiday Inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	In the riverside area near Express by Holiday Inn is a high priced Indian restaurant called The Punter. It has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a high priced restaurant that serves Indian food. It is located in the riverside area near Express by Holiday Inn. It is child friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	There is a high priced Indian restaurant near Express by Holiday Inn in the city centre called The Punter. It has an average customer rating and is not child friendly.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a children friendly Indian restaurant with an average customer rating and a high price range. It is located in the city centre near Express by Holiday Inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Along the riverside near Express by Holiday Inn is a high priced Indian restaurant called The Punter. It has an average customer rating.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a restaurant that serves Indian food in the high price range. It is located in the riverside area near Express by Holiday Inn. It has an average customer rating.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a Indian restaurant located in the city centre near Express by Holiday Inn. It has a low customer rating and is not family-friendly.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	A family-friendly restaurant in the city centre near Express by Holiday Inn is The Punter. It has a low customer rating and serves Indian food.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a restaurant that serves Indian food in the less than £20 price range. It is located in the riverside area near Express by Holiday Inn. It is not family-friendly.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a family friendly restaurant that serves Indian food for less than £20. It is located near Express by Holiday Inn in the riverside area.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a moderately priced Indian restaurant located in the city centre near Express by Holiday Inn. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a moderately priced Indian restaurant located in the city centre near Express by Holiday Inn. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a moderately priced Indian restaurant located near Express by Holiday Inn in the riverside area. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a moderately priced Indian restaurant located near Express by Holiday Inn in the riverside area. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	There is a moderately priced Indian restaurant called The Punter located in the city centre near Express by Holiday Inn. It is not kid friendly and has a customer rating of 3 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a moderately priced Indian restaurant located in the city centre near Express by Holiday Inn. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a restaurant that serves Indian food in the moderate price range. It is located in the riverside area near Express by Holiday Inn. It is not kid friendly.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	"Located near Express by Holiday Inn in the riverside area, The Punter is a kid friendly restaurant that serves Indian food at a moderate price range."
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a highly rated Indian restaurant in the city centre near Express by Holiday Inn. It is not child friendly and has a price range of more than £30.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	If you are looking for a highly rated Indian restaurant in the city centre there is a restaurant called The Punter. It is child friendly and is in the more than £30 price range.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a highly rated Indian restaurant in the riverside area near Express by Holiday Inn. It is not child friendly and has a price range of more than £30.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The Punter is a high rated restaurant that serves Indian food in the more than £30 price range. It is located in the riverside area near Express by Holiday Inn.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a Italian restaurant with a high customer rating and a price range of £20-25. It is located in the city centre near Express by Holiday Inn.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	This restaurant The Punter is a family friendly Italian restaurant with a high customer rating and a price range of £20-25. It is located in the city centre near Express by Holiday Inn.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The Punter is a restaurant providing Italian food in the £20-25 price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is high.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	There is a restaurant called The Punter that serves Italian food in the £20-25 price range. It is located in the riverside area near Express by Holiday Inn. It is kid friendly and has a high customer rating.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	There is a cheap Italian restaurant called The Punter located in the city centre near Express by Holiday Inn. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The Punter is a cheap Italian restaurant located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Punter is a cheap Italian restaurant located in the city centre near Rainbow Vegetarian Café. It is family friendly and has a customer rating of 5 out of 5.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	In the riverside area near Rainbow Vegetarian Café is a Italian restaurant called The Punter. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Punter is a cheap restaurant that serves Italian food. It is located in the riverside area near Rainbow Vegetarian Café. It is family friendly and has a customer rating of 5 out of 5.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Near Rainbow Vegetarian Café in the city centre is a Italian restaurant called The Punter. It has an average customer rating and is not family-friendly.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Punter is a cheap Italian restaurant located in the city centre near Rainbow Vegetarian Café. It is family friendly and has an average customer rating.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	The Punter is a cheap Italian restaurant located in the riverside area near Rainbow Vegetarian Café. It has an average customer rating.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Punter is a cheap restaurant that serves Italian food. It is located in the riverside area near Rainbow Vegetarian Café. It is family friendly and has an average customer rating.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The Punter is a high priced Italian restaurant located in the city centre near Rainbow Vegetarian Café. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Punter is a high priced restaurant that serves Italian food. It is located in the city centre near Rainbow Vegetarian Café. It is child friendly and has a customer rating of 1 out of 5.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	"Along the riverside near Rainbow Vegetarian Café, there is a high priced Italian restaurant called The Punter. It has a customer rating of 1 out of 5."
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	At the riverside area is a high priced restaurant called The Punter. It is near Rainbow Vegetarian Café. It is child friendly and has a customer rating of 1 out of 5.
"name[The Vaults], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced pub that serves French food in the riverside area is The Vaults. It is child friendly and is located near Raja Indian Cuisine.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Vaults is a pub that serves French food for less than £20. It is located in the city centre near Raja Indian Cuisine. It is not family-friendly.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	For a family-friendly pub serving French food in the city centre near Raja Indian Cuisine is The Vaults. It has a price range of less than £20.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	For a low priced pub that serves French food in the riverside area near Raja Indian Cuisine is The Vaults. It is not family-friendly.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	In the riverside area near Raja Indian Cuisine is a pub called The Vaults that serves French food for less than £20. It is family friendly.
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	For a moderately priced French pub near Raja Indian Cuisine in the city centre there is The Vaults. It is not kid friendly.
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a kid friendly pub that serves French food in the city centre near Raja Indian Cuisine is The Vaults. It is moderately priced.
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	There is a moderately priced pub near Raja Indian Cuisine in the riverside area that serves French food called The Vaults. It is not kid friendly.
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a kid friendly pub that serves French food in the riverside area near Raja Indian Cuisine is The Vaults. It is moderately priced.
"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Vaults is a pub that serves French food in the more than £30 price range. It is located in the city centre near Raja Indian Cuisine. It is not child friendly.
"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a pub called The Vaults that serves French food in the city centre near Raja Indian Cuisine. It is child friendly and has a price range of more than £30.
"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Vaults is a pub that serves French food in the riverside area near Raja Indian Cuisine. It is not child friendly and has a price range of more than £30.
"name[The Vaults], eatType[pub], food[French], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Vaults is a pub that serves French food in the riverside area near Raja Indian Cuisine. It is child friendly and has a price range of more than £30.
"name[The Vaults], eatType[pub], food[Indian], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a pub near Raja Indian Cuisine in the riverside area that serves Indian food called The Vaults. It is kid friendly and has a price range of £20-25.
"name[The Vaults], eatType[pub], food[Indian], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a cheap pub that serves Indian food in the riverside area then the Vaults is family friendly. It is located near Raja Indian Cuisine.
"name[The Vaults], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Indian food is served at The Vaults pub in the city centre near Raja Indian Cuisine. It is not child friendly and has a high price range.
"name[The Vaults], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Vaults is a pub that serves Indian food in the high price range. It is located in the city centre near Raja Indian Cuisine. It is children friendly.
"name[The Vaults], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	There is a pub called The Vaults that serves Italian food in the high price range. It is located in the city centre near Rainbow Vegetarian Café. It has an average customer rating and is not child friendly.
"name[The Vaults], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Vaults is a pub that serves Italian food in the high price range. It is located in the city centre near Rainbow Vegetarian Café. It is children friendly and has an average customer rating.
"name[The Vaults], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	The Vaults is a pub that serves Italian food in the high price range. It is located in the riverside area near Rainbow Vegetarian Café. It has an average customer rating and is not child friendly.
"name[The Vaults], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The Vaults is a pub that serves Italian food in the high price range. It is located in the riverside area near Rainbow Vegetarian Café. It is children friendly and has an average customer rating.
"name[The Vaults], eatType[pub], food[Italian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The Vaults is a pub that serves Italian food for less than £20. It is located in the city centre near Rainbow Vegetarian Café. It is not family-friendly and has a low customer rating.
