"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in the city centre with a coffee shop.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family-friendly pub in the moderate price range. it is located near the crowne plaza hotel in the city centre.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub located in the riverside area near the crowne plaza hotel. it is not kid friendly and has a customer rating of 1 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a pub that serves french food in the moderate price range. it is located near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a pub providing french food in the more than £30 price range. it is located near the crowne plaza hotel in the city centre.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a french pub in the more than £30 price range. it is located in the city centre near the crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub in the more than £30 price range. it is located near the crowne plaza hotel. its customer rating is 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a children friendly pub located near crowne plaza hotel in the riverside area. it serves french food and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a pub providing french food in the more than £30 price range. it is located near crowne plaza hotel in the city centre.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family-friendly pub located near the crowne plaza hotel in the city centre with a low customer rating.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub in the riverside area near the crowne plaza hotel. it is not child friendly and has a low customer rating.
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family friendly pub that serves french food. it is located near crowne plaza hotel.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family friendly fast food restaurant in the riverside area.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a high priced fast food restaurant located in the city centre near raja raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a high priced fast food restaurant located in the city centre near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a high priced fast food restaurant in the riverside area near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a fast food restaurant located near raja indian cuisine in the riverside area.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a fast food restaurant located in the city centre near raja indian cuisine. it is not family-friendly.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family-friendly fast food restaurant located in the city centre.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a fast food restaurant located in riverside near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family friendly fast food restaurant near raja indian cuisine in the riverside area.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a fast food restaurant located in the city centre near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a moderately priced fast food restaurant located near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a moderately priced fast food restaurant located in riverside near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a moderately priced fast food restaurant located in riverside near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a fast food restaurant located in the riverside area near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family friendly french restaurant located in the riverside area.
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a cheap, family friendly restaurant located near raja indian cuisine.
"name[The Phoenix], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a high priced french restaurant in the riverside area near raja raja indian.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a restaurant providing indian food in the £20-25 price range. it is located in the city centre near crowne plaza hotel.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a restaurant providing indian food in the £20-25 price range. it is located in the city centre. it is near crowne plaza hotel.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a restaurant providing indian food in the £20-25 price range. it is located in the riverside. it is near crowne plaza hotel. its customer rating is high.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a restaurant providing indian food in the price range of £20-25. it is located in the riverside. its customer rating is high.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a restaurant providing indian food in the cheap price range. it is located in the city centre. it is near crowne plaza hotel.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a cheap indian restaurant in the city centre near crowne plaza hotel.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a cheap indian restaurant located in the riverside area near the crowne plaza hotel.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The phoenix is a restaurant providing indian food in the cheap price range. it is located in the riverside. it is near express by holiday inn. its customer rating is 5 out of 5.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The phoenix is a cheap indian restaurant in the riverside area near express by holiday inn. it has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The phoenix is a cheap indian restaurant in the city centre near express by holiday inn. its customer rating is average.
"name[The Plough], eatType[pub], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a pub that serves chinese food in the £20-25 price range. it is located in the riverside.
"name[The Plough], eatType[pub], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a pub that serves chinese food in the cheap price range. it is located in the riverside area and is family friendly.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The plough is a pub that serves chinese food in the high price range. it is located in the city centre. it is near raja indian cuisine.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a pub providing chinese food in the high price range. it is located in the city centre. it is located near raja indian cuisine.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The plough is a pub serving chinese food in the high price range. it is located in the riverside. it is near raja indian cuisine.
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a pub that provides chinese food in the high price range. it is located in the riverside. it is near raja indian cuisine.
"name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The plough is a pub that serves chinese food in the less than £20 price range. it is located in the city centre. it is near raja indian cuisine.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a chinese restaurant located in the riverside area near raja indian cuisine.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a cheap, family friendly chinese restaurant in riverside.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The plough is a restaurant providing chinese food in the high price range. it is located in the city centre. it is near raja indian cuisine.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a restaurant providing chinese food in the high price range. it is located in the city centre.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The plough is a high priced chinese restaurant located in riverside near raja indian cuisine.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The plough is a restaurant providing chinese food in the high price range. it is located in the riverside. it is near raja indian cuisine.
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The plough is a chinese restaurant in the city centre near raja indian cuisine. it is not family-friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a pub providing chinese food in the less than £20 price range. it is located in the city centre and is family friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a pub providing chinese food in the less than £20 price range. it is located in the riverside and is not family friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a pub that serves chinese food in the less than £20 price range. it is located in the riverside.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a pub that serves chinese food in the moderate price range. it is located in the city centre. it is near raja indian cuisine.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a pub providing chinese food in the moderate price range. it is located in the city centre and is kid friendly.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a pub serving chinese food in the moderate price range. it is located in the riverside. it is near raja indian cuisine.
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a pub that serves chinese food in the moderate price range. it is located in the riverside.
"name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a pub providing chinese food in the more than £30 price range. it is located in the riverside.
"name[The Punter], eatType[pub], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a pub that serves english food in the £20-25 price range. it is near raja indian cuisine.
"name[The Punter], eatType[pub], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a cheap, family friendly pub near raja indian cuisine.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a high-priced english pub located in the city centre near raja indian cuisine.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a high-priced english pub located in the city centre near raja indian cuisine
"name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a pub providing english food in the high price range. it is near raja indian cuisine in the riverside area.
"name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a children friendly pub located near raja raja indian cuisine in the riverside area.
"name[The Punter], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a high priced italian pub located in the city centre near rainbow vegetarian café. it has an average customer rating.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a family friendly chinese restaurant located in the city centre.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a chinese restaurant in the riverside area near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a family friendly chinese restaurant in the riverside area near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a restaurant providing chinese food in the moderate price range. it is located in the city centre.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a moderate priced chinese restaurant in the city centre near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a moderate priced chinese restaurant located near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a restaurant providing chinese food in the moderate price range. it is located in the riverside. it is near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a chinese restaurant in the more than £30 price range. it is located in the riverside.
"name[The Punter], eatType[restaurant], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a kid friendly restaurant located near raja indian cuisine in riverside.
"name[The Punter], eatType[restaurant], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a cheap, family friendly restaurant in riverside near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a high-priced english restaurant located in the city centre near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a high priced english restaurant located in the city centre near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The punter is a high priced english restaurant located in the riverside area near raja indian cuisine.
"name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The punter is a children friendly restaurant located near raja indian cuisine in the riverside area.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the cheap price range. it is located in the city centre. it is near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a cheap indian restaurant in the riverside area near express by holiday inn. it is not family friendly.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a cheap, family friendly indian restaurant in the riverside area near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the city centre.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the city centre.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the riverside. it is near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the riverside area near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the city centre near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a high priced indian restaurant in the city centre near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the riverside.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the high price range. it is located in the riverside. it is near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the less than £20 price range. it is located in the city centre. it is near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the less than £20 price range. it is located in the city centre. it is near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant that serves indian food in the less than £20 price range. it is located in the riverside. its customer rating is low.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a family friendly indian restaurant located in the riverside area near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a moderate priced indian restaurant located in the city centre near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is near express by holiday inn in the city centre.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is located in the riverside.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is near express by holiday inn in riverside.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is located in the city centre. it is near express by holiday inn. its customer rating is 3 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is near express by holiday inn in the city centre.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is located in the riverside. its customer rating is 3 out of 5.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the moderate price range. it is near express by holiday inn in riverside.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a restaurant providing indian food in the more than £30 price range. it is located in the city centre. its customer rating is high.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a child friendly indian restaurant in the more than £30 price range. it is located in the city centre.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is an indian restaurant located in the riverside area near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a child friendly indian restaurant in the riverside area near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is an italian restaurant in the city centre near express by holiday inn. it is not kid friendly and has a price range of £20-25.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a kid friendly italian restaurant located in the city centre near express by holiday inn.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	The punter is an italian restaurant located in riverside near express by holiday inn. it is not kid friendly and has a price range of £20-25.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	The punter is a highly rated italian restaurant located near express by holiday inn in the riverside area.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	The punter is a cheap italian restaurant in the city centre near express by holiday inn. it is not family-friendly.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a cheap italian restaurant in the city centre near rainbow vegetarian café. it is not family-friendly.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The punter is a cheap, family friendly italian restaurant located in the city centre near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a cheap italian restaurant in the riverside area near rainbow vegetarian café. it has a customer rating of 5 out of 5.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The punter is a cheap, family friendly italian restaurant located near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a cheap italian restaurant located in the city centre near rainbow vegetarian café
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The punter is a cheap italian restaurant in the city centre near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a cheap, family-friendly italian restaurant located near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The punter is a cheap, family friendly restaurant near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a high priced italian restaurant in the city centre near rainbow vegetarian café. it is not child friendly.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The punter is a family-friendly italian restaurant located in the city centre near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	The punter is a restaurant providing italian food in the high price range. it is located in the riverside area near rainbow vegetarian café.
"name[The Punter], eatType[restaurant], food[Italian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	The punter is a high-priced italian restaurant located near rainbow vegetarian café.
"name[The Vaults], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The vaults is a children friendly pub located near raja indian cuisine in riverside.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The vaults is a pub providing french food in the less than £20 price range. it is located near raja raja cuisine in the city centre.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The vaults is a family-friendly pub serving french food in the less than £20 price range. it is located near raja indian cuisine.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The vaults is a pub that serves french food in the less than £20 price range. it is located near raja indian cuisine in the riverside area.
"name[The Vaults], eatType[pub], food[French], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The vaults is a family friendly pub near raja indian cuisine in the riverside area.
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The vaults is a pub serving french food in the moderate price range. it is located in the city centre near raja indian cuisine.
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The vaults is a pub that serves french food in the moderate price range. it is near raja indian cuisine in the city centre.
