'name[Blue Spice], eatType[coffee shop], area[city centre]'	'In the city centre Blue Spice is a coffee shop with a price range of more than £30.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Phoenix is a children friendly pub serving fast food in the riverside area near the Café Sicilia. It has a high customer rating and a price range of more than £30.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a kid friendly french pub in the riverside area near Raja Indian Cuisine. It has a price range of £20-25.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Phoenix is a french pub located in the city centre near Café Sicilia. It has a customer rating of 3 out of 5 and is not child friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Phoenix is a kid friendly french pub located in the city centre near Café Sicilia. It has a customer rating of 3 out of 5 and a price range of £20-25.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Phoenix is a french pub near Café Sicilia in the riverside area. It has a customer rating of 3 out of 5 and a price range of £20-25 and is not kid friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Phoenix is a kid friendly french pub in the riverside area near Café Sicilia. It has a customer rating of 3 out of 5 and a price range of £20-25.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the riverside area near the Crowne Plaza Hotel. It has a customer rating of 3 out of 5, is kid friendly, and is moderately priced.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub with a high customer rating and a price range of £20-25. It is located in the city centre near Crowne Plaza Hotel and is not kid friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a pub providing french food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel and has a high customer rating.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub with a high customer rating and a price range of £20-25. It is located in the riverside area near Crowne Plaza Hotel and is not kid friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a kid friendly french pub in the riverside area near Crowne Plaza Hotel. It has a high customer rating and a price range of £20-25.'
'name[The Phoenix], eatType[pub], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a cheap, family friendly french pub in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near Crowne Plaza Hotel. It is not family-friendly, has a customer rating of 5 out of 5 and a cheap price range.'
'name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a cheap, family-friendly pub serving french food in the city centre near Crowne Plaza Hotel.'
'name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a cheap french pub in the riverside area near Crowne Plaza Hotel. It has a customer rating of 5 out of 5 and is not family-friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a cheap, family-friendly pub with a customer rating of 5 out of 5. It is located in the riverside area near Crowne Plaza Hotel and serves french food.'
'name[The Phoenix], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a children friendly french pub near Raja Indian Cuisine in the riverside area with a high price range.'
'name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near Crowne Plaza Hotel. It has a customer rating of 3 out of 5 and is not child friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a children friendly french pub in the city centre near Crowne Plaza Hotel. It has a high price range and a customer rating of 3 out of 5.'
'name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub in the riverside area near Crowne Plaza Hotel. It has a customer rating of 3 out of 5 and is not child friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub in the riverside area near the Crowne Plaza Hotel. It is child friendly and has a customer rating of 3 out of 5. The price range is high.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near the Crowne Plaza Hotel. It has an average customer rating and a price range of less than £20. It is not family-friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a family-friendly pub that serves french food in the less than £20 price range. It is located in the city centre near Crowne Plaza Hotel and has an average customer rating.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub in the riverside area near the Crowne Plaza Hotel. It has an average customer rating, is not family-friendly and the price range is less than £20.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a family-friendly pub serving french food in the riverside area near the Crowne Plaza Hotel. It has an average customer rating and a price range of less than £20.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near the Crowne Plaza Hotel. It has a low customer rating, is not family-friendly and costs less than £20.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a family-friendly french pub in the city centre near Crowne Plaza Hotel with a low customer rating and a price range of less than £20.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a low-priced, low - rated, non-family-friendly, french pub near the Crowne Plaza Hotel in the riverside area.'
'name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a family-friendly pub in the low price range. It is located next to the river and Crowne Plaza Hotel.'
'name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub with a moderate price range and a customer rating of 1 out of 5. It is located in the city centre near Crowne Plaza Hotel and is not kid friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a kid friendly french pub located in the city centre near Crowne Plaza Hotel. It has a moderate price range and a customer rating of 1 out of 5.'
'name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a moderately priced french pub in the riverside area near Crowne Plaza Hotel. It is not kid friendly and has a customer rating of 1 out of 5.'
'name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub near Crowne Plaza Hotel in the riverside area. It has a customer rating of 1 out of 5, is kid friendly and moderately priced.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near Crowne Plaza Hotel. It has a customer rating of 5 out of 5 and a price range of more than £30 and is not child friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near Crowne Plaza Hotel. It has a customer rating of 5 out of 5, is child friendly and has a high price range.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub with a customer rating of 5 out of 5 and a price range of more than £30. It is located in riverside near Crowne Plaza Hotel and is not child friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub with a customer rating of 5 out of 5. It is located in the riverside area near the Crowne Plaza Hotel. It is children friendly and costs more than £30.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub near Crowne Plaza Hotel in the city centre with a low customer rating and a price range of more than £30. It is not child friendly.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub located in the city centre near Crowne Plaza Hotel. It has a low customer rating and is child friendly. The price range is more than £30.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub near Crowne Plaza Hotel in the riverside area. It has a low customer rating, is not child friendly and has a price range of more than £30.'
'name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a french pub in the riverside area near the Crowne Plaza Hotel. It has a low customer rating, is child friendly, and costs more than £30.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a cheap family friendly fast food restaurant in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a restaurant providing fast food in the high price range. It is located in the city centre near Raja Indian Cuisine and is not child friendly.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a high priced, child friendly fast food restaurant in the city centre near Raja Indian Cuisine.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant in the riverside area near Raja Indian Cuisine. It has a high price range and is not children friendly.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a high priced, child friendly, fast food restaurant in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a restaurant providing fast food in the low price range. It is located in the city centre near Raja Indian Cuisine and is not family-friendly.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a family-friendly fast food restaurant in the city centre near Raja Indian Cuisine. It costs less than £20.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a restaurant providing fast food in the low price range. It is located in the riverside area near Raja Indian Cuisine and is not family-friendly.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a family-friendly fast food restaurant in the riverside area near Raja Indian Cuisine. It has a price range of less than £20.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a restaurant providing fast food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is not kid friendly.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a moderately priced, kid friendly fast food restaurant in the city centre near Raja Indian Cuisine.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a moderately priced fast food restaurant in the riverside area near Raja Indian Cuisine. It is not kid friendly.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant in the riverside area near Raja Indian Cuisine. It is kid friendly and moderately priced.'
'name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a children friendly fast food restaurant in the riverside area near Raja Indian Cuisine with a price range of more than £30.'
'name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a kid friendly french restaurant in the riverside area near Raja Indian Cuisine. It has a price range of £20-25.'
'name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a cheap, family-friendly french restaurant in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a children friendly french restaurant in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a restaurant providing indian food in the £20-£ 25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a restaurant providing indian food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix provides indian food in the £20-25 price range. It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a restaurant providing indian food in the £20-25 price range. It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a restaurant providing indian food in the cheap price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]'	'The Phoenix is a cheap, family friendly, highly rated indian restaurant in the city centre near Crowne Plaza Hotel.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]'	'The Phoenix is a restaurant providing indian food in the cheap price range. It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'The Phoenix is a restaurant providing indian food in the cheap price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is 5 out of 5.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'The Phoenix provides indian food in the cheap price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is 5 out of 5.'
'name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'The Phoenix provides indian food in the cheap price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is average.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a pub that provides chinese food in the £20-25 price range. It is located in the riverside. It is near Raja Indian Cuisine.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a cheap family friendly chinese pub in the riverside area near Raja Indian Cuisine.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Plough is a high priced chinese pub in the city centre near Raja Indian Cuisine. It is not child friendly.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a pub providing chinese food in the high price range. It is located in the city centre near Raja Indian Cuisine and is child friendly.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Plough is a high priced chinese pub in the riverside area near Raja Indian Cuisine. It is not child friendly.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a child friendly chinese pub in the riverside area near Raja Indian Cuisine. It has a high price range.'
'name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Plough is a non-family-friendly pub serving cheap chinese food in the city centre near Raja Indian Cuisine.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a restaurant providing chinese food in the £20-25 price range. It is located in the riverside. It is near Raja Indian Cuisine.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a cheap family friendly chinese restaurant in riverside near Raja Indian Cuisine.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Plough provides chinese food in the high price range. It is located in the city centre near Raja Indian Cuisine.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a children friendly high priced chinese restaurant in the city centre near Raja Indian Cuisine.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Plough provides chinese food in the high price range. It is located in the riverside. It is located near Raja Indian Cuisine.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Plough is a children friendly chinese restaurant in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Plough], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Plough is a chinese restaurant with a price range of less than £20. It is located in the city centre near Raja Indian Cuisine and is not family friendly.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a pub that provides chinese food in the less than £20 price range. It is located in the city centre. It is located near Raja Indian Cuisine.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a pub providing chinese food in the less than £20 price range. It is located in the riverside. It is near Raja Indian Cuisine.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a family friendly chinese pub in the riverside area near Raja Indian Cuisine. It has a price range of less than £20.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a moderately priced chinese pub located in the city centre near Raja Indian Cuisine. It is not child friendly.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a pub that serves chinese food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is child friendly.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a moderately priced chinese pub in the riverside area near Raja Indian Cuisine. It is not kid friendly.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a chinese pub in the riverside area near Raja Indian Cuisine. It is kid friendly and moderately priced.'
'name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a pub that provides chinese food in the more than £30 price range. It is located in the riverside. It is near Raja Indian Cuisine.'
'name[The Punter], eatType[pub], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a kid friendly pub in the riverside area near Raja Indian Cuisine. It serves english food and has a price range of £20-25.'
'name[The Punter], eatType[pub], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a cheap family friendly pub serving english food in the riverside area near Raja Indian Cuisine.'
'name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a high priced english pub in the city centre near Raja Indian Cuisine. It is not child friendly.'
'name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a children friendly high priced english pub in the city centre near Raja Indian Cuisine.'
'name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a high priced english pub in the riverside area near Raja Indian Cuisine. It is not child friendly.'
'name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a children friendly english pub in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Punter], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]'	'The Punter is an italian pub located in the city centre near Rainbow Vegetarian Café. It has an average customer rating and a high price range. It is not child friendly.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter provides chinese food in the less than £20 price range. It is located in the city centre. It is near Raja Indian Cuisine.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a chinese restaurant in the riverside area near Raja Indian Cuisine. It has a price range of less than £20 and is not family friendly.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a restaurant providing chinese food in the less than £20 price range. It is located in the riverside. It is near Raja Indian Cuisine.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a moderately priced chinese restaurant located in the city centre near Raja Indian Cuisine. It is not kid friendly.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a moderately priced chinese restaurant in the city centre near Raja Indian Cuisine. It is kid friendly.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a moderately priced chinese restaurant in the riverside area near Raja Indian Cuisine. It is not kid friendly.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a kid friendly chinese restaurant with a moderate price range in the riverside area near Raja Indian Cuisine.'
'name[The Punter], eatType[restaurant], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a restaurant providing chinese food in the more than £30 price range. It is located in the riverside. It is near Raja Indian Cuisine.'
'name[The Punter], eatType[restaurant], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a restaurant providing english food in the riverside area near Raja Indian Cuisine. It has a price range of £20-25 and is kid friendly.'
'name[The Punter], eatType[restaurant], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a cheap family friendly restaurant in the riverside area near Raja Indian Cuisine. It serves english food.'
'name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a restaurant providing english food in the high price range. It is located in the city centre near Raja Indian Cuisine and is not child friendly.'
'name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a children friendly high priced english restaurant in the city centre near Raja Indian Cuisine.'
'name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Punter is a restaurant providing english food in the high price range. It is located in riverside near Raja Indian Cuisine.'
'name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Punter is a children friendly english restaurant in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]'	'The Punter is a cheap, family friendly indian restaurant in the city centre near Express by Holiday Inn with an average customer rating.'
'name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]'	'The Punter provides indian food in the cheap price range. It is located in the riverside. It is near Express by Holiday Inn. Its customer rating is average.'
'name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]'	'The Punter is a cheap, family friendly indian restaurant with an average customer rating in the riverside area near Express by Holiday Inn.'
'name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]'	'The Punter is a restaurant providing indian food in the high price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is 1 out of 5.'
