name[Blue Spice], eatType[coffee shop], area[city centre]	In the city centre is a coffee shop named Blue Spice.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not family-friendly and has a price range of less than £20.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a family-friendly French pub called The Phoenix. It is less than £20.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	For a pub serving French food at a £20 price range. It is located near Crowne Plaza Hotel in the riverside area. It is not family-friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	For a family friendly pub serving French food at a £20 price range. It is located near Crowne Plaza Hotel in the riverside area.
name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not kid friendly and has a moderate price range.
name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is kid friendly and has a moderate price range.
name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area near Crowne Plaza Hotel, is a pub called The Phoenix. It serves French food and is not kid friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a kid friendly pub called The Phoenix. It serves French food and is moderately priced.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not child friendly and has a price range of more than £30.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is child friendly and has a price range of more than £30.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area near Crowne Plaza Hotel is a pub called The Phoenix. It serves French food and is not child friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	For a pub near Crowne Plaza Hotel, The Phoenix is a family friendly pub serving French food in the more than £30 price range.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not child friendly and has a price range of more than £30.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is child friendly and has a price range of more than £30.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area near Crowne Plaza Hotel, is a pub called The Phoenix. It serves French food and is not child friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a child friendly pub called The Phoenix. It serves French food and costs more than £30.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, The Phoenix is a cheap Fast food restaurant that is family friendly.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a high priced Fast food restaurant called The Phoenix.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	There is a high priced Fast food restaurant near Raja Indian Cuisine in the city centre called The Phoenix.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	There is a high priced Fast food restaurant near Raja Indian Cuisine in the riverside area. It is not children friendly.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a high priced restaurant that is family friendly, The Phoenix serves Fast food. It is located near Raja Indian Cuisine.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a Fast food restaurant called The Phoenix. It is not family-friendly and has a price range of less than £20.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	There is a family-friendly Fast food restaurant called The Phoenix. It is located near Raja Indian Cuisine in the city centre.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a Fast food restaurant called The Phoenix. It is not family-friendly and has a price range of less than £20.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a family friendly restaurant called The Phoenix. It serves Fast food for less than £20.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a Fast food restaurant called The Phoenix. It is not kid friendly and has a moderate price range.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a Fast food restaurant called The Phoenix. It is kid friendly and has a moderate price range.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a moderately priced Fast food restaurant called The Phoenix. It is not kid friendly.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a moderately priced restaurant that is family friendly, The Phoenix, serves Fast food. It is located near Raja Indian Cuisine in the riverside area.
name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, The Phoenix is a Fast food restaurant that is children friendly.
name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a kid friendly French restaurant called The Phoenix. It is in the £20-25 price range.
name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a cheap French restaurant called The Phoenix. It is family friendly.
name[The Phoenix], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, there is a high priced French restaurant called The Phoenix. It is child friendly.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a restaurant called The Phoenix. It serves Indian food in the £20-25 price range.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a kid friendly restaurant called The Phoenix. It serves Indian food in the £20-25 price range.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area, The Phoenix is a restaurant that serves Indian food in the £20-25 price range. It is not kid friendly.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	For a kid friendly restaurant, The Phoenix is a restaurant that serves Indian food in the £20-25 price range. It is located in the riverside area near Crowne Plaza Hotel.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a cheap Indian restaurant called The Phoenix. It is not family friendly.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a family friendly restaurant called The Phoenix. It serves Indian food and is cheap.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a cheap Indian restaurant called The Phoenix. It is not family friendly.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	Near the Express by Holiday Inn, there is a cheap restaurant called The Phoenix. It serves Indian food and is not family friendly.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a family friendly restaurant called The Phoenix. It serves Indian food and is cheap.
name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a cheap Indian restaurant called The Phoenix. It is not family friendly.
name[The Plough], eatType[pub], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a pub called The Plough. It serves Chinese food and is kid friendly and has a price range of £20-25.
name[The Plough], eatType[pub], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a cheap pub that serves Chinese food in the riverside area, near Raja Indian Cuisine, is family friendly.
name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Plough. It serves Chinese food and is not child friendly.
name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a high priced Chinese pub called The Plough. It is child friendly.
name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a high priced pub that serves Chinese food. It is not children friendly.
name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a pub called The Plough. It serves Chinese food and is child friendly.
name[The Plough], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Plough. It serves Chinese food for less than £20. It is not family friendly.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a kid friendly Chinese restaurant called The Plough in riverside near Raja Indian Cuisine. It is in the £20-25 price range.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near Raja Indian Cuisine in the riverside area, is a cheap Chinese restaurant called The Plough. It is family friendly.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, there is a Chinese restaurant called The Plough. It is not child friendly and has a high price range.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a high priced Chinese restaurant called The Plough. It is child friendly.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a high priced Chinese restaurant called The Plough. It is not child friendly.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a high priced Chinese restaurant called The Plough. It is located near Raja Indian Cuisine.
name[The Plough], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a Chinese restaurant called The Plough. It is not family friendly and has a price range of less than £20.
name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	There is a family friendly Chinese pub called The Punter, near Raja Indian Cuisine in the city centre. It is a pub that costs less than £20.
name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a pub called The Punter. It serves Chinese food for less than £20. It is not family friendly.
name[The Punter], eatType[pub], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a family friendly pub that serves Chinese food at a less than £20 price range. It is located in the riverside area near Raja Indian Cuisine.
name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Punter. It serves Chinese food and is not kid friendly.
name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Punter. It serves Chinese food and is kid friendly.
name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	The Punter is a pub that serves Chinese food in the moderate price range. It is located in the riverside area near Raja Indian Cuisine.
name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a pub called The Punter that serves Chinese food in the moderate price range. It is located in the riverside area near Raja Indian Cuisine.
name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near Raja Indian Cuisine, is a pub that serves Chinese food at a price range of more than £30. It is children friendly and is near Raja Indian Cuisine.
name[The Punter], eatType[pub], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near Raja Indian Cuisine, is a kid friendly pub that serves English food at a price range of £20-25.
name[The Punter], eatType[pub], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near Raja Indian Cuisine, is a family friendly pub that serves English food. It is called The Punter.
name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a high priced English pub called The Punter. It is not child friendly.
name[The Punter], eatType[pub], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a high priced pub called The Punter. It serves English food and is child friendly.
name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a high priced English pub called The Punter. It is not child friendly.
name[The Punter], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a high priced pub that serves English food. It is child friendly.
name[The Punter], eatType[pub], food[Italian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a high priced Italian pub called The Punter. It is not child friendly.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	There is a family friendly Chinese restaurant called The Punter, near Raja Indian Cuisine in the city centre. It is a family friendly restaurant.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a Chinese restaurant called The Punter. It is not family friendly and has a price range of less than £20.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a family friendly Chinese restaurant called The Punter. It is located near Raja Indian Cuisine.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	There is a Chinese restaurant called The Punter in the city centre, near Raja Indian Cuisine, is not kid friendly and has a moderate price range.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	There is a kid friendly Chinese restaurant called The Punter in the city centre near Raja Indian Cuisine. It is moderately priced.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a Chinese restaurant called The Punter. It is not kid friendly and has a moderate price range.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a kid friendly Chinese restaurant called The Punter in riverside near Raja Indian Cuisine.
name[The Punter], eatType[restaurant], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine, The Punter is a Chinese restaurant that is child friendly and has a price range of more than £30.
name[The Punter], eatType[restaurant], food[English], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a kid friendly restaurant called The Punter. It serves English food and has a price range of £20-25.
name[The Punter], eatType[restaurant], food[English], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a cheap family friendly restaurant called The Punter.
name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre near Raja Indian Cuisine is a high priced English restaurant called The Punter. It is not child friendly.
name[The Punter], eatType[restaurant], food[English], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre near Raja Indian Cuisine is a high priced restaurant called The Punter. It serves English food and is child friendly.
name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a high priced restaurant called The Punter. It serves English food and is not child friendly.
name[The Punter], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a high priced restaurant that serves English food.
name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a family friendly Indian restaurant called The Punter.
name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a cheap Indian restaurant called The Punter. It is not family friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a cheap Indian restaurant called The Punter. It is family friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter. It is not child friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter. It is not child friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, The Punter is a high priced Indian restaurant. It is family friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter. It is not child friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter. It is child friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter. It is not child friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a high priced Indian restaurant called The Punter.
name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a non family friendly Indian restaurant called The Punter. It is not family friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a family friendly restaurant called The Punter. It serves Indian food for less than £20.
name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area near Express by Holiday Inn, is a non family friendly Indian restaurant called The Punter. It is not family friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	For a family friendly Indian restaurant, The Punter, is located near Express by Holiday Inn.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a restaurant called The Punter. It serves Indian food and is not kid friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a kid friendly restaurant called The Punter. It serves Indian food and is moderately priced.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	The Punter is a restaurant providing Indian food in the moderate price range. It is located in the riverside. It is near Express by Holiday Inn.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a kid friendly restaurant called The Punter. It serves Indian food at a moderate price.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a restaurant called The Punter. It serves Indian food and is not kid friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a kid friendly restaurant called The Punter. It serves Indian food and is moderately priced.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a restaurant called The Punter. It serves Indian food and is not kid friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a kid friendly restaurant called The Punter. It serves Indian food at a moderate price.
name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a restaurant called The Punter. It serves Indian food and is not child friendly.
name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a child friendly restaurant called The Punter. It serves Indian food at a price range of more than £30.
name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area near Express by Holiday Inn, is a non friendly restaurant called The Punter. It serves Indian food at a price range of more than £30.
name[The Punter], eatType[restaurant], food[Indian], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, near Express by Holiday Inn, is a child friendly restaurant called The Punter. It serves Indian food at a price range of more than £30.
name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a restaurant called The Punter. It serves Italian food and is not kid friendly and has a price range of £20-25.
name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]	In the city centre near Express by Holiday Inn is a kid friendly Italian restaurant called The Punter. It is in the £20-25 price range.
name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Express by Holiday Inn]	In the riverside area, The Punter is a restaurant that serves Italian food in the £20-25 price range. It is not kid friendly.
name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]	In the riverside area, The Punter is a kid friendly Italian restaurant with a price range of £20-25.
name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Express by Holiday Inn]	In the city centre, near Express by Holiday Inn, is a cheap Italian restaurant called The Punter. It is not family-friendly.
name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, there is a cheap Italian restaurant called The Punter. It is not family-friendly.
name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a cheap Italian restaurant called The Punter. It is family-friendly.
name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]	In the riverside area near Rainbow Vegetarian Café, is a cheap Italian restaurant called The Punter. It is not family-friendly.
name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]	For a cheap Italian restaurant, The Punter, is family friendly and is located near Rainbow Vegetarian Café.
name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]	In the city centre, near Rainbow Vegetarian Café, is a cheap Italian restaurant called The Punter. It is not family-friendly.
